,1_Del_C_0,1_Del_C_1,1_Del_C_2,1_Del_C_3,1_Del_C_4,1_Del_C_5,1_Del_T_0,1_Del_T_1,1_Del_T_2,1_Del_T_3,1_Del_T_4,1_Del_T_5,1_Ins_C_0,1_Ins_C_1,1_Ins_C_2,1_Ins_C_3,1_Ins_C_4,1_Ins_C_5,1_Ins_T_0,1_Ins_T_1,1_Ins_T_2,1_Ins_T_3,1_Ins_T_4,1_Ins_T_5,2_Del_R_0,2_Del_R_1,2_Del_R_2,2_Del_R_3,2_Del_R_4,2_Del_R_5,3_Del_R_0,3_Del_R_1,3_Del_R_2,3_Del_R_3,3_Del_R_4,3_Del_R_5,4_Del_R_0,4_Del_R_1,4_Del_R_2,4_Del_R_3,4_Del_R_4,4_Del_R_5,5_Del_R_0,5_Del_R_1,5_Del_R_2,5_Del_R_3,5_Del_R_4,5_Del_R_5,2_Ins_R_0,2_Ins_R_1,2_Ins_R_2,2_Ins_R_3,2_Ins_R_4,2_Ins_R_5,3_Ins_R_0,3_Ins_R_1,3_Ins_R_2,3_Ins_R_3,3_Ins_R_4,3_Ins_R_5,4_Ins_R_0,4_Ins_R_1,4_Ins_R_2,4_Ins_R_3,4_Ins_R_4,4_Ins_R_5,5_Ins_R_0,5_Ins_R_1,5_Ins_R_2,5_Ins_R_3,5_Ins_R_4,5_Ins_R_5,2_Del_M_1,3_Del_M_1,3_Del_M_2,4_Del_M_1,4_Del_M_2,4_Del_M_3,5_Del_M_1,5_Del_M_2,5_Del_M_3,5_Del_M_4,5_Del_M_5,Prob(MSI),MILO_prediction
C516_C1_G5_L1,68,567,74,14,7,281,0,0,0,81,174,10318,352,62,22,0,6,128,256,84,27,50,67,1596,218,124,56,182,1195,4112,119,55,181,1494,1271,480,69,94,857,1049,225,54,99,1207,1754,359,34,0,220,18,14,29,108,554,116,16,9,26,36,120,28,19,13,23,39,5,0,16,9,0,0,0,128,43,76,44,12,74,42,21,34,31,74,1.0,Yes
C518_A1_G10_L1,0,2041,664,0,0,55,0,446,0,242,0,4665,195,30,16,0,0,85,187,48,0,17,67,644,151,155,65,111,554,1936,82,20,76,765,580,214,43,34,425,492,85,0,58,729,918,132,13,0,62,21,0,0,45,273,49,7,0,0,22,69,0,0,6,6,9,0,0,0,0,0,0,0,0,27,29,8,19,19,11,15,5,11,18,1.0,Yes
C518_A1_G1_L1,0,4327,890,0,0,0,0,1475,187,127,0,3943,409,66,28,3,4,105,425,89,0,74,229,1204,191,578,164,72,423,1547,108,44,117,651,475,227,58,40,421,381,125,0,38,682,814,120,0,0,151,15,10,34,73,569,81,0,0,11,40,117,0,16,15,16,25,0,0,2,5,0,0,0,208,29,12,19,8,27,21,11,5,22,22,1.0,Yes
C518_A1_G8_L1,0,2269,452,7,0,56,0,647,0,192,0,2771,221,27,12,0,0,47,240,63,29,25,95,626,152,329,86,61,278,991,74,26,43,367,292,115,26,47,231,257,45,17,32,322,427,98,0,0,105,12,6,15,35,211,56,8,5,8,10,58,2,4,11,27,9,0,0,0,0,0,0,0,201,21,27,11,0,15,16,13,8,5,23,1.0,Yes
C518_B1_G2_L1,0,3001,539,84,0,90,0,587,0,163,0,4937,189,29,0,0,9,82,208,59,0,61,89,896,179,408,66,93,520,1862,117,54,122,685,548,212,54,41,439,476,95,29,34,767,847,155,15,0,127,7,13,18,37,352,71,3,0,8,32,71,0,0,18,15,27,0,0,0,0,0,0,0,335,41,66,15,4,26,21,11,11,22,34,1.0,Yes
C518_B1_G7_L1,372,753,585,257,99,252,206,0,0,203,174,10885,319,40,7,56,63,145,244,69,25,0,0,993,164,0,0,171,1267,4206,113,0,143,1808,1382,397,71,35,1131,1217,210,41,92,1804,2222,392,24,0,106,11,0,20,61,253,42,7,9,11,21,42,0,0,12,17,10,0,0,0,0,0,0,0,0,17,56,16,4,27,38,16,13,32,89,1.0,Yes
C518_C1_G8_L1,28,1213,475,18,9,198,0,25,0,9,31,10225,223,13,7,0,13,118,151,6,0,1,45,1215,190,15,26,168,1234,4289,107,30,182,1682,1355,486,69,69,1078,1171,215,37,104,1711,2094,347,9,0,85,15,6,28,85,432,52,0,7,9,32,84,0,13,7,15,9,0,0,14,9,1,0,0,31,24,71,30,15,30,36,28,23,22,61,1.0,Yes
C518_C1_G9_L1,0,2574,677,77,0,99,0,635,0,157,0,5149,88,15,0,0,0,54,89,0,0,0,97,721,133,312,97,75,572,1877,111,29,83,794,586,223,42,52,450,515,89,22,49,799,912,149,22,0,0,15,0,15,26,233,43,0,0,3,19,34,0,7,3,0,10,0,0,0,0,0,0,0,254,24,29,7,9,23,12,7,8,8,20,1.0,Yes
C552_A1_G7_L1,0,4056,981,0,0,72,0,816,0,93,0,9032,224,0,0,0,2,237,206,28,0,6,150,1077,339,378,115,246,1311,3768,206,24,207,1929,1266,486,102,40,1244,1119,240,48,152,2150,2220,331,25,0,98,3,21,56,85,468,96,0,15,32,27,85,0,30,55,52,33,0,0,59,30,14,0,0,35,13,81,38,16,42,31,41,18,44,100,1.0,Yes
C552_A1_G8_L1,173,1887,554,24,0,50,0,568,0,200,0,2937,40,0,0,0,0,62,6,0,0,0,45,317,146,265,53,54,412,1082,83,19,57,556,367,70,23,14,343,302,45,0,31,486,637,100,0,0,3,0,0,8,37,92,0,0,3,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,76,16,51,4,4,23,8,9,0,9,0,1.0,Yes
